fa_flight_id,elapsed_30s_ms,elapsed_1m_ms,elapsed_3m_ms,path_length_30s,path_length_1m,path_length_3m,eps_30s,eps_1m,eps_3m,iters_30s,iters_1m,iters_3m,states_30s,states_1m,states_3m
AAL1220-1452295500-schedule-0000,18426,0,0,411.2236087986398,inf,inf,3.0,inf,inf,863846,0,0,3964092,0,0
AAL1220-1452381900-schedule-0000,11701,0,0,266.6304283382181,inf,inf,2.6436943531449764,inf,inf,637009,0,0,2941295,0,0
AAL1220-1452468300-schedule-0000,15509,0,0,337.818897835355,inf,inf,3.0,inf,inf,837706,0,0,3753086,0,0
AAL1220-1452554700-schedule-0000,0,0,146122,inf,inf,416.71514141049494,inf,inf,3.0,0,0,8145008,0,0,27867951
AAL1223-1452300900-schedule-0000,508,0,134688,346.4044243936499,inf,160.93533998215696,3.0,inf,2.0208329029055765,33092,0,8615463,148835,0,28211592
AAL1223-1452387300-schedule-0000,0,48096,148843,inf,248.45768020772448,197.83168936161763,inf,2.980349402600067,2.3661490575077897,0,2523131,9500897,0,8804914,26352654
AAL1223-1452473700-schedule-0001,0,0,0,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
AAL1223-1452560100-schedule-0001,0,54074,0,inf,502.08170416773504,inf,inf,3.0,inf,0,2849281,0,0,9877132,0
AAL1239-1452361500-schedule-0000,12242,0,0,438.5678861971181,inf,inf,3.0,inf,inf,599208,0,0,2717969,0,0
AAL1239-1452447900-schedule-0000,4937,0,79524,363.09163446372906,inf,178.2289700327351,3.0,inf,2.4225056330596226,217928,0,4823585,1159067,0,17588506
AAL1239-1452534300-schedule-0000,13227,0,0,339.16463030610856,inf,inf,3.0,inf,inf,840762,0,0,3284044,0,0
AAL1239-1452620700-schedule-0000,0,0,0,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
AAL134-1452302040-schedule-0000,22569,0,0,312.3402207293472,inf,inf,3.0,inf,inf,875496,0,0,4232521,0,0
AAL134-1452388440-schedule-0000,10696,0,0,296.39596093434545,inf,inf,3.0,inf,inf,568869,0,0,2595769,0,0
AAL134-1452407117-airline-0450,11251,0,0,349.92287927292836,inf,inf,3.0,inf,inf,523718,0,0,2459746,0,0
AAL134-1452561240-schedule-0000,14659,0,0,376.1773016411474,inf,inf,3.0,inf,inf,509741,0,0,2758367,0,0
AAL1402-1452350700-schedule-0000,0,50374,0,inf,398.27182422996634,inf,inf,3.0,inf,0,2746142,0,0,11087591,0
AAL1402-1452407117-airline-0198,11928,0,0,266.6842926951892,inf,inf,2.95371492927938,inf,inf,613345,0,0,3100773,0,0
AAL1402-1452523500-schedule-0000,19587,0,0,506.97529265400976,inf,inf,3.0,inf,inf,1055318,0,0,4033681,0,0
AAL1402-1452609900-schedule-0000,2903,0,0,437.7095733739242,inf,inf,3.0,inf,inf,136433,0,0,739112,0,0
AAL1431-1452277500-schedule-0000,7379,0,0,354.70553253948293,inf,inf,3.0,inf,inf,364599,0,0,1688313,0,0
AAL1431-1452322880-airline-0335,7119,0,114938,327.878274367643,inf,191.3857664957362,3.0,inf,2.4879986643361547,374688,0,7326146,1780431,0,24253794
AAL1431-1452407117-airline-0181,10477,0,0,501.80151204202764,inf,inf,3.0,inf,inf,507211,0,0,2614698,0,0
AAL1431-1452536700-schedule-0000,4954,0,0,503.50574808492155,inf,inf,3.0,inf,inf,328570,0,0,1451837,0,0
AAL1431-1452623100-schedule-0000,7407,0,0,362.56904422839784,inf,inf,3.0,inf,inf,335517,0,0,1588982,0,0
AAL1623-1452322880-airline-0025,18508,0,0,392.95737237465517,inf,inf,3.0,inf,inf,1131791,0,0,4803568,0,0
AAL1623-1452407117-airline-0590,0,53535,0,inf,161.17154477789865,inf,inf,2.2483000962346855,inf,0,2668046,0,0,11886961,0
AAL1623-1452517800-schedule-0001,15606,0,0,379.92529287101337,inf,inf,3.0,inf,inf,811360,0,0,3822224,0,0
AAL1623-1452604200-schedule-0000,9484,0,0,175.1641277390431,inf,inf,2.501987316013791,inf,inf,487855,0,0,1994152,0,0
AAL184-1452292800-schedule-0000,0,59084,0,inf,314.6975883734609,inf,inf,3.0,inf,0,3534327,0,0,13311584,0
AAL184-1452322880-airline-0539,0,37244,0,inf,457.93311619895013,inf,inf,3.0,inf,0,2253738,0,0,8698235,0
AAL184-1452407117-airline-0383,0,0,168249,inf,inf,225.0597693980107,inf,inf,2.5174570177859534,0,0,10267116,0,0,33669615
