fa_flight_id,elapsed_30s_ms,elapsed_1m_ms,elapsed_3m_ms,path_length_30s,path_length_1m,path_length_3m,iters_30s,iters_1m,iters_3m,states_30s,states_1m,states_3m
AAL1220-1452295500-schedule-0000,29808,59476,177793,94.87391980680917,94.87391980680917,94.87391980680917,53000,79000,134000,47860,71216,120908
AAL1220-1452381900-schedule-0000,29644,59183,178905,80.35463407885749,80.35463407885749,80.35463407885749,53000,79000,136000,47708,71111,122451
AAL1220-1452468300-schedule-0000,29656,59236,179404,83.42111034032418,83.42111034032418,83.42111034032418,53000,79000,135000,47672,71027,121385
AAL1220-1452554700-schedule-0000,29610,59311,178867,79.856840478596,79.856840478596,79.856840478596,53000,79000,136000,47631,70962,122276
AAL1223-1452300900-schedule-0000,29609,59460,179255,79.60661585902022,79.60661585902022,79.60661585902022,53000,79000,136000,47663,71054,122342
AAL1223-1452387300-schedule-0000,29489,59010,177195,83.62000534784195,83.62000534784195,83.62000534784195,53000,79000,135000,47543,70915,121236
AAL1223-1452473700-schedule-0001,29659,59192,179639,77.84148230012177,77.84148230012177,77.84148230012177,53000,79000,136000,47731,71125,122454
AAL1223-1452560100-schedule-0001,29655,59607,178147,84.09035632826658,84.09035632826658,84.09035632826658,53000,79000,135000,47674,71090,121502
AAL1239-1452361500-schedule-0000,29891,59513,179612,82.41301976682863,82.41301976682863,82.41301976682863,53000,79000,136000,47638,71094,122426
AAL1239-1452447900-schedule-0000,29659,59289,178245,72.97869937367577,72.97869937367577,72.97869937367577,53000,79000,135000,47692,71125,121596
AAL1239-1452534300-schedule-0000,29724,59212,179098,70.36541326849873,70.36541326849873,70.36541326849873,53000,79000,136000,47650,70990,122256
AAL1239-1452620700-schedule-0000,29637,59249,178236,70.30577830974202,70.30577830974202,70.30577830974202,53000,79000,136000,47741,71115,122325
AAL134-1452302040-schedule-0000,29653,59386,179142,80.41666742111471,80.41666742111471,80.41666742111471,53000,79000,135000,47634,71117,121568
AAL134-1452388440-schedule-0000,29576,59078,177566,83.97290493128614,83.97290493128614,83.97290493128614,53000,79000,136000,47731,71185,122604
AAL134-1452407117-airline-0450,29649,59180,179226,79.87486259886523,79.87486259886523,79.87486259886523,53000,79000,136000,47736,71114,122368
AAL134-1452561240-schedule-0000,29791,59494,177456,103.0456939806698,103.0456939806698,103.0456939806698,53000,79000,135000,47800,71264,121619
AAL1402-1452350700-schedule-0000,29577,59105,177766,78.14515695128152,78.14515695128152,78.14515695128152,53000,79000,135000,47635,71007,121234
AAL1402-1452407117-airline-0198,29713,59454,177297,89.55952978973828,89.55952978973828,89.55952978973828,53000,79000,135000,47850,71315,121758
AAL1402-1452523500-schedule-0000,29625,59503,179168,74.9513692188086,74.9513692188086,74.9513692188086,53000,79000,136000,47655,71021,122284
AAL1402-1452609900-schedule-0000,29485,58917,178663,72.301310374,72.301310374,72.301310374,53000,79000,137000,47635,71039,123142
AAL1431-1452277500-schedule-0000,29593,59188,178588,91.66672959278903,91.66672959278903,91.66672959278903,53000,79000,136000,47738,71223,122481
AAL1431-1452322880-airline-0335,29634,59154,177556,76.74306105066333,76.74306105066333,76.74306105066333,53000,79000,136000,47673,70998,122220
AAL1431-1452407117-airline-0181,29551,59132,179104,83.99520009558836,83.99520009558836,83.99520009558836,53000,79000,136000,47731,71148,122510
AAL1431-1452536700-schedule-0000,29591,59279,177544,85.38967483880084,85.38967483880084,85.38967483880084,53000,79000,135000,47713,71138,121621
AAL1431-1452623100-schedule-0000,29578,59088,177265,80.54472962986743,80.54472962986743,80.54472962986743,53000,79000,135000,47685,71095,121619
AAL1623-1452322880-airline-0025,29576,59256,177691,77.42567533166772,77.42567533166772,77.42567533166772,53000,79000,136000,47662,71160,122395
AAL1623-1452407117-airline-0590,29688,59221,177502,71.04679994869203,71.04679994869203,71.04679994869203,53000,79000,136000,47680,71014,122280
AAL1623-1452517800-schedule-0001,29680,59317,177652,79.4763891882364,79.4763891882364,79.4763891882364,53000,79000,135000,47707,71072,121557
AAL1623-1452604200-schedule-0000,29612,59177,179072,69.48301582669431,69.48301582669431,69.48301582669431,53000,79000,135000,47698,71033,121474
AAL184-1452292800-schedule-0000,29584,59044,177187,94.95141893360169,94.95141893360169,94.95141893360169,53000,79000,136000,47625,71004,122279
AAL184-1452322880-airline-0539,29624,59202,179044,84.72855163516174,84.72855163516174,84.72855163516174,53000,79000,136000,47683,71096,122401
AAL184-1452407117-airline-0383,29664,59415,177442,80.06546664373188,80.06546664373188,80.06546664373188,53000,79000,136000,47738,71154,122488
AAL184-1452549600-schedule-0000,29556,59127,179013,82.44799242662108,82.44799242662108,82.44799242662108,53000,79000,136000,47641,71080,122332
